iter	MultiClass
0	1.630916593
1	1.456505927
2	1.32260161
3	1.223403072
4	1.139796125
5	1.072959177
6	1.015687096
7	0.9663203044
8	0.9227121794
9	0.8884097414
10	0.8568474103
11	0.8274188141
12	0.8030539892
13	0.7800919988
14	0.7601449886
15	0.7411379339
16	0.7237788253
17	0.7102528966
18	0.698310651
19	0.6843650214
20	0.6728346612
21	0.6618468211
22	0.6520909992
23	0.643803907
24	0.6368569713
25	0.6301318023
26	0.6235385482
27	0.6166934384
28	0.6098874846
29	0.6042765008
30	0.5986467005
31	0.5934415218
32	0.5897109978
33	0.5848745364
34	0.581320922
35	0.5777006564
36	0.573273184
37	0.5691677063
38	0.5655285
39	0.5616932823
40	0.5580560951
41	0.553874308
42	0.5502490729
43	0.547234552
44	0.5455423827
45	0.5434018509
46	0.5419031838
47	0.5381313311
48	0.5351057334
49	0.5325337677
50	0.5301229004
51	0.5265109998
52	0.5237825724
53	0.5226206053
54	0.5198779157
55	0.5181063129
56	0.5160344101
57	0.5135732407
58	0.5109235936
59	0.5094208923
60	0.5080953683
61	0.5061240185
62	0.5044670423
63	0.5021257769
64	0.4990854248
65	0.4971721316
66	0.4954321244
67	0.4941020394
68	0.492010354
69	0.4907693744
70	0.4895330083
71	0.4882152153
72	0.4866112721
73	0.4859634937
74	0.483999368
75	0.4823486256
76	0.4809059105
77	0.4796011428
78	0.4780604217
79	0.4765498044
80	0.4746484472
81	0.4729334951
82	0.4705591276
83	0.469331388
84	0.468392735
85	0.466865925
86	0.4650565804
87	0.464094661
88	0.463293165
89	0.4618342262
90	0.4609529171
91	0.4599061614
92	0.458731218
93	0.4569505566
94	0.4552239211
95	0.453684498
96	0.4527600126
97	0.451431623
98	0.450658046
99	0.4496782864
100	0.4487335602
101	0.4476834673
102	0.4468118745
103	0.445803394
104	0.4446497954
105	0.4438191698
106	0.4431311762
107	0.4423684725
108	0.4410768228
109	0.4401653883
110	0.4387554477
111	0.4381989423
112	0.4375323598
113	0.4365061278
114	0.4353693431
115	0.4336230121
116	0.4330934024
117	0.4325409927
118	0.4321018291
119	0.4312859425
120	0.4305444284
121	0.4295191841
122	0.4284773116
123	0.4267862071
124	0.4253403508
125	0.4235236716
126	0.4221204128
127	0.4212140238
128	0.4203199983
129	0.4192602531
130	0.4180045928
131	0.4176073012
132	0.4160044283
133	0.4149009919
134	0.4140430218
135	0.4130119861
136	0.4124828475
137	0.4118146133
138	0.4109527757
139	0.4101516515
140	0.4089016344
141	0.4080683985
142	0.4074209404
143	0.4067433456
144	0.4062654201
145	0.4049393486
146	0.4040384546
147	0.4028866452
148	0.4019965984
149	0.401340758
150	0.400880993
151	0.3999225809
152	0.3982000293
153	0.3976671271
154	0.3972228168
155	0.3963558454
156	0.3953212825
157	0.3943735707
158	0.3936157061
159	0.3929381005
160	0.3916732064
161	0.3913438889
162	0.390393751
163	0.3893010052
164	0.3888803115
165	0.3881214386
166	0.3873707143
167	0.3865071342
168	0.3859537323
169	0.3855453362
170	0.3843710941
171	0.383635058
172	0.3828600983
173	0.3820978351
174	0.3815349291
175	0.3807522279
176	0.379963492
177	0.3796174321
178	0.3790670959
179	0.3785179511
180	0.37774593
181	0.3767734498
182	0.3762627628
183	0.3756226483
184	0.3751701613
185	0.3748002342
186	0.3742611285
187	0.3735826917
188	0.3729810147
189	0.3718745655
190	0.3717091886
191	0.370595857
192	0.3700946963
193	0.369295035
194	0.3687783332
195	0.3681967805
196	0.3671384284
197	0.3667435692
198	0.3661009195
199	0.3658034807
200	0.3651266123
201	0.3646211058
202	0.3643018839
203	0.3638703768
204	0.3634964846
205	0.362642678
206	0.3620139088
207	0.3614055833
208	0.3609426884
209	0.3603756335
210	0.3599972355
211	0.3589233317
212	0.3579954882
213	0.3572570799
214	0.3563905973
215	0.3558689113
216	0.3554148774
217	0.3547502889
218	0.3540002565
219	0.3534438079
220	0.3527901211
221	0.3521437103
222	0.3517755005
223	0.3515126527
224	0.350607964
225	0.349947116
226	0.3492254373
227	0.3487080579
228	0.3477972707
229	0.3471703394
230	0.3468796168
231	0.3460931724
232	0.3452935474
233	0.3448961089
234	0.3443556506
235	0.3435561481
236	0.3431898605
237	0.3425239489
238	0.3419396651
239	0.3412594393
240	0.3409335098
241	0.3406028176
242	0.3404551652
243	0.3395637384
244	0.3389571218
245	0.3384950594
246	0.3381750694
247	0.3374101944
248	0.336726539
249	0.3363213969
250	0.3357617043
251	0.3349951481
252	0.3344577245
253	0.3338673497
254	0.3331355302
255	0.3327686032
256	0.3320490177
257	0.3316212784
258	0.3308249463
259	0.3305697454
260	0.3303338224
261	0.3297805347
262	0.3294223998
263	0.3290575335
264	0.3285463328
265	0.3276870269
266	0.3273362202
267	0.3271664539
268	0.3268324768
269	0.3265599029
270	0.3263095349
271	0.3258577412
272	0.3249392421
273	0.3246757109
274	0.32411902
275	0.3236541215
276	0.3234265145
277	0.3229910717
278	0.3228577308
279	0.3225262255
