iter	Passed	Remaining
0	36	72880
1	77	77883
2	115	76780
3	151	75732
4	186	74379
5	221	73645
6	256	73010
7	294	73277
8	331	73302
9	371	73849
10	413	74680
11	456	75664
12	498	76192
13	539	76524
14	581	76901
15	626	77710
16	672	78469
17	718	79126
18	760	79274
19	802	79451
20	841	79342
21	886	79720
22	926	79612
23	970	79945
24	1005	79419
25	1043	79211
26	1077	78713
27	1123	79112
28	1168	79426
29	1205	79164
30	1244	79016
31	1278	78655
32	1313	78306
33	1347	77912
34	1385	77773
35	1419	77440
36	1459	77417
37	1496	77289
38	1531	77013
39	1571	77027
40	1608	76856
41	1644	76685
42	1681	76512
43	1716	76284
44	1753	76187
45	1791	76089
46	1835	76286
47	1886	76701
48	1919	76415
49	1955	76257
50	1994	76204
51	2035	76269
52	2070	76064
53	2105	75874
54	2143	75799
55	2180	75695
56	2218	75608
57	2251	75378
58	2289	75326
59	2326	75226
60	2360	75026
61	2395	74891
62	2431	74751
63	2467	74655
64	2503	74529
65	2536	74340
66	2568	74101
67	2601	73918
68	2635	73745
69	2669	73606
70	2703	73454
71	2736	73288
72	2773	73203
73	2805	73017
74	2841	72927
75	2877	72839
76	2915	72806
77	2949	72681
78	2986	72613
79	3020	72491
80	3054	72374
81	3089	72266
82	3123	72152
83	3157	72018
84	3192	71919
85	3224	71754
86	3262	71733
87	3294	71579
88	3325	71406
89	3361	71345
90	3394	71210
91	3429	71128
92	3465	71051
93	3501	71001
94	3534	70877
95	3568	70777
96	3601	70661
97	3635	70564
98	3668	70445
99	3704	70380
100	3737	70277
101	3772	70199
102	3806	70105
103	3839	70000
104	3874	69922
105	3907	69811
106	3939	69704
107	3973	69613
108	4009	69555
109	4041	69448
110	4078	69402
111	4111	69311
112	4144	69214
113	4180	69156
114	4213	69071
115	4249	69011
116	4282	68918
117	4315	68829
118	4348	68737
119	4380	68632
120	4414	68546
121	4450	68506
122	4484	68434
123	4518	68359
124	4553	68304
125	4589	68261
126	4621	68159
127	4655	68087
128	4689	68014
129	4722	67927
130	4758	67887
131	4792	67826
132	4828	67787
133	4863	67726
134	4897	67652
135	4933	67618
136	4966	67539
137	5000	67467
138	5033	67396
139	5067	67331
140	5102	67272
141	5137	67217
142	5170	67139
143	5202	67048
144	5235	66975
145	5271	66935
146	5304	66865
147	5338	66807
148	5372	66744
149	5406	66676
150	5439	66611
151	5473	66550
152	5509	66512
153	5542	66436
154	5573	66345
155	5607	66280
156	5641	66230
157	5677	66188
158	5711	66129
159	5747	66100
160	5784	66068
161	5817	66000
162	5851	65941
163	5885	65893
164	5920	65840
165	5954	65783
166	5987	65722
167	6020	65656
168	6052	65575
169	6087	65525
170	6123	65498
171	6158	65449
172	6191	65388
173	6227	65347
174	6260	65291
175	6294	65237
176	6329	65186
177	6361	65113
178	6393	65042
179	6428	64996
180	6461	64931
181	6493	64860
182	6528	64821
183	6562	64769
184	6595	64703
185	6626	64625
186	6660	64574
